업체명,카테고리명,술집여부,시도명,시군구명,읍면동명,리명,번지,도로명,경도,위도,주차가능여부,운영시간0,운영시간1,운영시간2,운영시간3,운영시간4,운영시간5,10대,20대,30대,40대,50대,60+대
4도씨,기타,1.0,부산광역시,강서구,명지동,,3446-9,명지국제6로242번길12-1,128.923944185144,35.0966937674981,Y,0.0,0.0,0.0,0.0,1.0,1.0,2,6,8,4,6,5
가롱집,기타,1.0,부산광역시,부산진구,전포동,,313-1,전포대로210번길30,129.067128240273,35.1553297102721,N,0.0,0.0,0.0,0.0,1.0,1.0,5,5,1,8,5,0
77돌곱창,아시아,0.0,부산광역시,사상구,감전동,,121-95,괘감로98,128.98507400195,35.157142212607,Y,0.0,0.0,0.0,1.0,1.0,0.0,5,1,36,7,1,8
A6양곱창,아시아,0.0,부산광역시,부산진구,부전동,,524-7,중앙대로691번길43,129.056588994893,35.1543018070958,N,0.0,0.0,0.0,0.0,1.0,1.0,0,6,6,8,3,6
1957 양갈비식당 덕천점,아시아,0.0,부산광역시,북구,덕천동,,402-13,만덕대로16번길23,129.007424954325,35.2094923563425,N,0.0,0.0,0.0,0.0,1.0,1.0,4,1,2,1,1,37
라이옥베트남쌀국수 부산대점,아시아,0.0,부산광역시,금정구,장전동,,296-24,장전로12번길8,129.087695756371,35.2280473450539,Y,0.0,0.0,1.0,1.0,1.0,0.0,32,3,5,4,2,7
라임하노이,아시아,0.0,부산광역시,영도구,동삼동,,231-97,웃서발로69,129.069733326411,35.0792898773532,N,0.0,0.0,0.0,1.0,1.0,1.0,37,6,1,4,7,1
라이옥베트남쌀국수,아시아,0.0,부산광역시,남구,대연동,,34-12,용소로7번길76,129.104087562809,35.1382730203544,N,0.0,0.0,1.0,1.0,1.0,0.0,7,0,40,9,2,9
다카라함바그 현대백화점 부산점,양식,0.0,부산광역시,동구,범일동,,62-5,범일로125,129.058619213805,35.1412854132325,Y,0.0,0.0,1.0,1.0,1.0,0.0,7,9,3,5,31,6
restaurant 36,양식,0.0,부산광역시,사상구,모라동,,471,모라로99,128.990517324058,35.1865197586128,Y,0.0,0.0,0.0,1.0,1.0,0.0,5,2,8,9,9,7
209ST,양식,0.0,부산광역시,부산진구,전포동,,687-11,전포대로209번길17-3,129.064297127087,35.1552050972885,N,0.0,0.0,0.0,1.0,1.0,1.0,24,3,4,6,4,4
5KITCHEN,양식,0.0,부산광역시,북구,화명동,,2297-10,화명대로12번길88,129.008762787352,35.2310152317987,Y,0.0,0.0,0.0,1.0,1.0,1.0,23,1,4,2,1,0
Boo burger&coffee,양식,0.0,부산광역시,남구,대연동,,369-5,수영로266번길36,129.097138991909,35.1345624826757,Y,0.0,0.0,1.0,1.0,1.0,1.0,2,8,6,9,2,5
94스트리트더테라스,양식,0.0,부산광역시,해운대구,중동,,1809,좌동순환로433번길30-1,129.179846083607,35.1625239006237,N,0.0,0.0,0.0,1.0,1.0,1.0,6,5,43,7,3,7
라이프버거,양식,0.0,부산광역시,중구,중앙동2가,,24-1,중앙대로49번길7,129.035545310967,35.1018897672269,N,0.0,0.0,0.0,1.0,1.0,0.0,8,35,5,0,4,2
로위버거,양식,0.0,부산광역시,부산진구,부전동,,168-144,서전로10번길31-4,129.060046433934,35.156338960098,N,0.0,0.0,0.0,1.0,1.0,0.0,9,5,7,2,5,6
303화덕,양식,0.0,부산광역시,해운대구,송정동,,446-8,송정광어골로93,129.196827646451,35.173352602481,Y,0.0,0.0,0.0,1.0,1.0,0.0,3,1,5,3,8,7
303화덕 동래점,양식,0.0,부산광역시,동래구,온천동,,303-4,차밭골로37,129.07744098643,35.2171307665795,Y,0.0,0.0,0.0,1.0,1.0,0.0,6,3,6,3,2,9
3FOUND,양식,0.0,부산광역시,부산진구,부전동,,198-2,중앙대로680번가길5,129.060707200907,35.153671607964,N,0.0,0.0,0.0,1.0,1.0,1.0,5,0,7,5,1,3
808westdoor,양식,0.0,부산광역시,남구,문현동,,742-6,전포대로77번길22,129.06541884952,35.1438462202552,N,0.0,0.0,0.0,1.0,1.0,1.0,6,7,8,9,43,9
가디나,양식,0.0,부산광역시,부산진구,당감동,,422,당감로37-12,129.038765208074,35.16511218179,Y,0.0,0.0,0.0,1.0,1.0,1.0,9,8,3,7,5,8
GAB148,양식,0.0,부산광역시,수영구,남천동,,148-5,광안해변로122,129.115153291703,35.1457666240712,Y,0.0,0.0,0.0,1.0,1.0,1.0,38,2,3,7,2,0
가미레스토랑,양식,0.0,부산광역시,부산진구,부전동,,266-25,중앙대로743번길6,129.059836867352,35.1592545713082,N,0.0,0.0,0.0,1.0,1.0,0.0,8,1,8,9,8,32
뜨라또리아단테,양식,0.0,부산광역시,수영구,민락동,,184-5,광남로156-1,129.118497054532,35.155090517008,N,0.0,0.0,0.0,1.0,1.0,1.0,2,5,1,7,1,8
125슬로우스모크,양식,0.0,부산광역시,수영구,광안동,,106-2,수영로652번길80,129.118768427278,35.163583461941,N,0.0,0.0,0.0,0.0,1.0,1.0,4,5,5,23,7,0
11자리,양식,1.0,부산광역시,부산진구,부전동,,524-40,부전로40,129.055917556533,35.1538854152659,N,0.0,0.0,0.0,0.0,1.0,1.0,3,3,0,6,4,4
가배참치,일식,0.0,부산광역시,기장군,기장읍,교리,353-1,차성동로172,129.217393861124,35.2529905127049,N,0.0,0.0,0.0,0.0,1.0,1.0,2,32,1,5,1,6
가가참치,일식,0.0,부산광역시,동래구,사직동,,142-12,여고북로228,129.077124858276,35.202333270585,N,0.0,1.0,1.0,1.0,1.0,1.0,0,0,22,3,9,4
라멘만땅,일식,0.0,부산광역시,북구,덕천동,,401-22,덕천1길33-1,129.007328178059,35.2101760782495,Y,0.0,0.0,1.0,1.0,1.0,0.0,9,0,2,6,7,1
가츠모토,일식,0.0,부산광역시,부산진구,개금동,,1-20,백양관문로77번길41,129.027875252294,35.164216078813,Y,0.0,0.0,0.0,1.0,0.0,0.0,0,5,1,6,7,9
11호11번가,일식,0.0,부산광역시,기장군,기장읍,대변리,245-23,기장해안로668,129.233310528923,35.2204424183548,Y,0.0,0.0,1.0,1.0,1.0,0.0,0,1,5,33,8,4
37한영우럭형님,일식,0.0,부산광역시,수영구,민락동,,113-51,광안해변로312번길60,129.127895596674,35.1542353595669,Y,0.0,0.0,1.0,1.0,1.0,0.0,2,1,8,4,0,7
가덕활어,일식,0.0,부산광역시,사하구,다대동,,680-2,다대동로20,128.971974437887,35.0551595159102,N,0.0,0.0,1.0,1.0,1.0,0.0,5,6,6,5,5,31
가빈초장,일식,0.0,부산광역시,기장군,기장읍,대라리,72-1,읍내로104번길16,129.214868447476,35.2436967879139,N,0.0,0.0,1.0,1.0,1.0,1.0,5,34,2,8,20,2
가쯔렛 화명동직영점,일식,0.0,부산광역시,북구,화명동,,2268-1,화명신도시로132,129.01131308537,35.2359140098595,Y,0.0,0.0,1.0,1.0,1.0,1.0,7,2,30,0,2,3
88활어,일식,0.0,부산광역시,사하구,다대동,,681,다대동로13,128.971235341381,35.0548685100129,N,0.0,0.0,1.0,1.0,1.0,1.0,1,2,5,2,3,1
15번식당,일식,0.0,부산광역시,기장군,일광면,이천리,874-13,이천길31-1,129.237098803683,35.2652059700241,N,0.0,0.0,0.0,1.0,1.0,0.0,1,6,9,5,24,6
1식당,일식,0.0,부산광역시,연제구,거제동,,41-64,거제대로178번길59,129.073545357882,35.1837451246003,N,0.0,0.0,0.0,1.0,1.0,0.0,1,5,7,2,8,2
302돈까스,일식,0.0,부산광역시,강서구,신호동,,232-20,신호산단5로51-1,128.878712610769,35.0834541575805,Y,0.0,0.0,0.0,1.0,1.0,0.0,9,1,0,0,3,0
303일상,일식,0.0,부산광역시,동래구,온천동,,200-16,차밭골로36-4,129.077730376894,35.2169666007393,Y,0.0,0.0,0.0,1.0,1.0,0.0,0,8,1,2,4,4
동화집,일식,0.0,부산광역시,수영구,남천동,,29-4,남천바다로10번길70,129.110730090485,35.1467236910146,Y,0.0,0.0,0.0,1.0,1.0,0.0,7,3,23,1,0,0
1번가횟집,일식,0.0,부산광역시,북구,구포동,,592-20,구포시장6길11-1,129.003700843784,35.2073344225954,N,0.0,0.0,0.0,1.0,1.0,1.0,6,0,5,9,31,2
가젠스시,일식,0.0,부산광역시,금정구,구서동,,201-40,중앙대로1893번길16,129.090308126432,35.2534805632329,N,0.0,0.0,0.0,1.0,1.0,1.0,25,0,0,9,4,5
동일참치본점,일식,0.0,부산광역시,해운대구,중동,,1394-328,좌동로108,129.176816603325,35.1728756143114,Y,0.0,0.0,0.0,1.0,1.0,1.0,4,3,4,1,1,0
4번이모집,일식,0.0,부산광역시,기장군,일광면,학리,251-11,학리등대로101,129.247357610542,35.2591233931048,Y,0.0,0.0,1.0,1.0,1.0,0.0,9,8,9,0,6,9
가가와,일식,0.0,부산광역시,부산진구,범천동,,847-37,중앙번영로6,129.059801953944,35.1447681647458,N,0.0,0.0,0.0,1.0,1.0,0.0,0,6,21,0,6,9
E조은참치,일식,0.0,부산광역시,중구,중앙동4가,,88-6,충장대로5번길8,129.037103809136,35.1059718342383,Y,0.0,0.0,0.0,1.0,1.0,0.0,6,43,7,2,3,5
12호흥광호,일식,0.0,부산광역시,남구,용호동,,7,,129.117811989584,35.1279634686423,Y,0.0,0.0,0.0,1.0,1.0,0.0,1,3,4,30,1,0
가빈횟집,일식,0.0,부산광역시,해운대구,중동,,1028,달맞이길62번가길33,129.171743752647,35.158568574253,N,0.0,0.0,0.0,0.0,1.0,1.0,22,1,3,5,5,2
니하오 중식뷔페,중식,0.0,부산광역시,사하구,하단동,,1186-4,하신번영로201번길20,128.957156748878,35.0992082002786,Y,0.0,0.0,0.0,1.0,1.0,0.0,9,9,8,8,2,2
라라관,중식,0.0,부산광역시,부산진구,부전동,,224-6,동천로47-1,129.062091471187,35.1530435569857,N,0.0,0.0,0.0,1.0,1.0,1.0,3,0,9,2,42,30
희양양훠궈성 본점,중식,0.0,부산광역시,사상구,사직동,,93-6,사상로275,128.982244338201,35.1693858558721,N,0.0,0.0,0.0,0.0,1.0,1.0,9,0,6,9,24,8
836프리미엄치킨,한식,0.0,부산광역시,기장군,일광면,삼성리,869-4,해송1로19,129.229299936184,35.2676239240444,Y,0.0,0.0,0.0,0.0,1.0,1.0,2,8,4,22,9,7
가야목살찌개,한식,0.0,부산광역시,부산진구,가야동,,산33-3,엄광로152,129.030191184103,35.1471967808707,Y,0.0,0.0,1.0,1.0,0.0,0.0,2,9,3,34,30,5
두구동시래기,한식,0.0,부산광역시,금정구,두구동,,240-2,두구중리2길2,129.112166437807,35.2964290373765,N,0.0,0.0,1.0,1.0,1.0,0.0,9,4,5,4,3,8
가온분식,한식,0.0,부산광역시,북구,구포동,,987-14,백양대로1095-1,128.999181475158,35.2026526996115,N,0.0,0.0,1.0,1.0,1.0,0.0,4,7,6,3,4,3
24시분식,한식,0.0,부산광역시,기장군,기장읍,대라리,406-3,차성로265,129.213229677005,35.2410701925658,N,0.0,0.0,1.0,1.0,1.0,1.0,0,5,5,4,4,1
가야골프스낵,한식,0.0,부산광역시,부산진구,가야동,,251-1,가야대로545,129.031434217414,35.1551918074257,Y,0.0,0.0,1.0,1.0,1.0,1.0,1,5,6,0,7,5
부산진명가설렁탕 본점,한식,0.0,부산광역시,강서구,대저2동,,3153-1,유통단지1로41,128.955639822974,35.1672633350942,Y,0.0,0.0,1.0,1.0,1.0,0.0,2,9,8,36,3,0
JVL부대찌개,한식,0.0,부산광역시,중구,중앙동6가,,20-1,중앙대로2,129.036702280144,35.0983052368383,Y,0.0,0.0,1.0,1.0,1.0,0.0,6,1,1,4,7,7
가야밀면 범일점,한식,0.0,부산광역시,동구,범일동,,668-42,범일로89번길53,129.058639819617,35.1400116244584,N,0.0,0.0,1.0,1.0,0.0,0.0,4,4,9,8,0,2
가얏골감자탕 부산 금곡점,한식,0.0,부산광역시,북구,금곡동,,1874-3,금곡대로469,129.011366100309,35.2499987192644,Y,0.0,0.0,1.0,1.0,1.0,0.0,2,1,5,9,24,7
가연장 미역국정찬 대연점,한식,0.0,부산광역시,남구,대연동,,881-6,유엔평화로47,129.092363018423,35.1306240185066,Y,0.0,0.0,1.0,1.0,1.0,0.0,2,3,7,8,2,6
33떡볶이 부산화명점,한식,0.0,부산광역시,북구,화명동,,2337,금곡대로175,129.009107853271,35.2249593588973,Y,0.0,0.0,1.0,1.0,1.0,1.0,2,7,5,6,8,5
희자매조개구이,한식,0.0,부산광역시,서구,암남동,,620-28,,129.021530267483,35.062589836056,Y,0.0,0.0,1.0,1.0,1.0,1.0,1,6,7,8,1,0
E도시락,한식,0.0,부산광역시,남구,문현동,,815,자성로152,129.066884505367,35.1365082852064,Y,0.0,0.0,0.0,1.0,1.0,0.0,8,2,4,4,27,0
365꼬막정찬,한식,0.0,부산광역시,사하구,당리동,,321-1,낙동대로388,128.97576187676,35.1030771412059,Y,0.0,0.0,0.0,1.0,1.0,0.0,6,6,7,8,9,4
가마솥돼지국밥,한식,0.0,부산광역시,사상구,주례동,,507-14,가야대로284번길7,129.004017807197,35.1497776006645,N,0.0,0.0,0.0,1.0,1.0,0.0,30,4,6,8,2,2
부산맛집 생선구이&장어탕,한식,0.0,부산광역시,연제구,연산동,,489-35,과정로132번길10,129.107724586483,35.1830479299791,N,0.0,0.0,0.0,1.0,1.0,0.0,1,6,8,2,9,23
1974골목,한식,0.0,부산광역시,부산진구,부전동,,516-3,가야대로784번길46,129.057100043992,35.1555069999833,N,0.0,0.0,0.0,1.0,1.0,1.0,6,0,1,1,6,28
1등숯불갈비,한식,0.0,부산광역시,사하구,괴정동,,951-1,사하로185번길8,128.993059970547,35.0984680803714,Y,0.0,0.0,0.0,1.0,1.0,1.0,3,3,3,5,3,2
3678통장어,한식,0.0,부산광역시,서구,동대신동1가,,153-15,구덕로280번길17,129.019624723765,35.1095825991604,N,0.0,0.0,0.0,1.0,1.0,1.0,7,1,4,0,2,6
88고기집,한식,0.0,부산광역시,서구,서대신동1가,,157-3,대영로34,129.015139296735,35.1092298695651,Y,0.0,0.0,0.0,1.0,1.0,1.0,2,8,5,5,6,4
가우리 본점,한식,0.0,부산광역시,사하구,하단동,,505-15,낙동남로1423번길70,128.965690220752,35.1094222879663,Y,0.0,0.0,0.0,1.0,1.0,1.0,1,8,5,7,8,4
83해치,한식,0.0,부산광역시,부산진구,부전동,,142-8,서전로11-1,129.06107877091,35.157984887554,N,0.0,0.0,0.0,0.0,1.0,1.0,1,34,8,7,1,1
3초등심,한식,0.0,부산광역시,연제구,연산동,,632-27,고분로31번길4,129.085986012312,35.1859110193546,N,0.0,0.0,0.0,0.0,1.0,1.0,5,5,4,5,36,5
3호해녀아지매,한식,0.0,부산광역시,기장군,기장읍,대변리,245-23,기장해안로668,129.233310528923,35.2204424183548,Y,0.0,0.0,1.0,1.0,1.0,0.0,7,6,0,4,38,4
가촌이야기,한식,0.0,부산광역시,수영구,광안동,,95-10,무학로21번길50,129.11674587996,35.1638121645859,N,0.0,0.0,1.0,1.0,1.0,0.0,1,8,2,31,34,1
다원한방돼지국밥 본점,한식,0.0,부산광역시,사상구,엄궁동,,556-1,낙동대로809,128.97160541616,35.1324529436377,N,0.0,0.0,1.0,1.0,1.0,0.0,4,0,1,7,0,4
원조가야돼지국밥,한식,0.0,부산광역시,부산진구,가야동,,632-5,가야대로454번길11,129.021904186849,35.1524917910864,N,0.0,0.0,1.0,1.0,1.0,0.0,0,7,8,2,3,4
88완당집,한식,0.0,부산광역시,해운대구,반송동,,22-29,반송로924번길3-1,129.154829724396,35.2325408012334,N,0.0,0.0,1.0,1.0,0.0,0.0,8,4,4,1,24,27
168도시락국,한식,0.0,부산광역시,동구,초량동,,994-130,영초길191,129.035779484021,35.1170831994149,N,0.0,0.0,1.0,1.0,1.0,0.0,2,8,8,30,1,1
가야골밀면,한식,0.0,부산광역시,연제구,연산동,,1141-8,거제천로174,129.078332909509,35.1889232783564,N,0.0,0.0,1.0,1.0,1.0,0.0,9,7,1,6,7,0
가야정삼계탕,한식,0.0,부산광역시,사상구,학장동,,433-2,학감대로123번길68,128.984548164096,35.141172329616,Y,0.0,0.0,1.0,1.0,1.0,0.0,9,2,6,6,7,1
가온밀면 사직점,한식,0.0,부산광역시,동래구,온천동,,1266-17,아시아드대로195번길7,129.065002211083,35.2018067016643,N,0.0,0.0,1.0,1.0,1.0,0.0,0,22,37,4,4,6
100세영양탕,한식,0.0,부산광역시,연제구,연산동,,478-36,고분로235번길17,129.107776008166,35.1853794968749,N,0.0,0.0,1.0,1.0,1.0,1.0,2,1,4,9,9,3
3.3숯불갈비,한식,0.0,부산광역시,영도구,영선동1가,,20-1,절영로19번길64,129.0431725082,35.0913983306379,N,0.0,0.0,1.0,1.0,1.0,1.0,1,7,5,4,9,8
가고파대구탕,한식,0.0,부산광역시,부산진구,당감동,,289-25,동평로94번길9,129.040099543585,35.1650831405038,N,0.0,0.0,1.0,1.0,1.0,1.0,7,2,8,7,0,0
가남추어탕,한식,0.0,부산광역시,북구,구포동,,584-14,낙동대로1766번길6,129.002271527745,35.2090858712001,N,0.0,0.0,1.0,1.0,1.0,1.0,3,9,0,9,6,26
가야포차선지국밥 연산점,한식,0.0,부산광역시,연제구,연산동,,383-41,과정로244,129.10051986368,35.1880022633632,Y,0.0,0.0,1.0,1.0,1.0,1.0,2,4,1,8,1,8
가자미매운탕 & 불고기밥상,한식,0.0,부산광역시,부산진구,부전동,,502-16,서면로65-6,129.0574778168,35.1565328612124,N,0.0,0.0,1.0,1.0,1.0,1.0,7,1,1,6,3,5
녹우원,한식,0.0,부산광역시,금정구,부곡동,,63-15,중앙대로1763번길27,129.091115338436,35.2415072905494,N,0.0,0.0,1.0,1.0,1.0,1.0,2,2,0,4,4,5
40계단 달팽이식당,한식,0.0,부산광역시,중구,중앙동3가,,14-9,대청로137번길4-1,129.035130616539,35.1032533981518,N,0.0,0.0,0.0,1.0,0.0,0.0,25,3,4,0,9,9
가야할매 밀면,한식,0.0,부산광역시,연제구,연산동,,1279-1,월드컵대로145번길32,129.079860844429,35.1851697349329,Y,0.0,0.0,0.0,1.0,1.0,0.0,9,29,8,8,7,2
부전소머리곰탕,한식,0.0,부산광역시,부산진구,부전동,,469-2,가야대로765번길23,129.055101446992,35.1588276910632,N,0.0,0.0,0.0,1.0,1.0,0.0,5,1,43,7,7,6
101남산돈까스,한식,0.0,부산광역시,연제구,거제동,,1208,종합운동장로7,129.061898096683,35.1912303688365,Y,0.0,0.0,0.0,1.0,1.0,0.0,3,9,0,2,6,1
1986옛날돈까스,한식,0.0,부산광역시,금정구,장전동,,153-4,수림로71번길43,129.084811580501,35.237939471078,N,0.0,0.0,0.0,1.0,1.0,0.0,0,36,43,6,0,8
39아구찜,한식,0.0,부산광역시,동구,좌천동,,426-1,정공단로39,129.05474092345,35.1360764214302,N,0.0,0.0,0.0,1.0,1.0,0.0,1,5,3,5,3,7
7080돼지국밥,한식,0.0,부산광역시,해운대구,반여동,,1291-1381,해운대로61번길75,129.126923189701,35.195276308989,N,0.0,0.0,0.0,1.0,1.0,0.0,40,2,9,22,7,2
가고파대구뽈찜,한식,0.0,부산광역시,금정구,부곡동,,273-13,부곡로147-1,129.091930382535,35.2290942741579,Y,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1,2,0,5
가마솥뚝배기,한식,0.0,부산광역시,금정구,남산동,,45-63,범어천로38번길23,129.091266177002,35.2697072831117,N,0.0,0.0,0.0,1.0,1.0,0.0,25,8,5,0,43,9
가미아구찜,한식,0.0,부산광역시,금정구,청룡동,,632-3,범어사로423,129.084974094325,35.2758538819148,Y,0.0,0.0,0.0,1.0,1.0,0.0,4,3,8,8,1,5
가야골추어탕,한식,0.0,부산광역시,부산진구,가야동,,484-8,가야공원로55-1,129.030243209525,35.1483767855726,N,0.0,0.0,0.0,1.0,1.0,0.0,1,20,32,1,2,5
가야대구뽈찜,한식,0.0,부산광역시,부산진구,가야동,,374-4,대학로11-6,129.037477551767,35.1541755942612,N,0.0,0.0,0.0,1.0,1.0,0.0,9,8,4,7,8,9
가온밀면 반여점,한식,0.0,부산광역시,해운대구,반여동,,883-12,선수촌로174-2,129.123662984935,35.2083469927678,N,0.0,0.0,0.0,1.0,1.0,0.0,4,3,3,1,2,2
JVL부대찌개 신세계백화점센텀시티몰점,한식,0.0,부산광역시,해운대구,우동,,1493,센텀4로15,129.128290064333,35.1698614848869,Y,0.0,0.0,0.0,1.0,1.0,0.0,0,0,5,5,9,4
3대아구찜뽈찜,한식,0.0,부산광역시,연제구,연산동,,774-2,월드컵대로47번길31,129.08310370809,35.1782942408709,N,0.0,0.0,0.0,1.0,1.0,1.0,9,8,1,9,7,9
3대천왕 이가네 떡볶이 금정점,한식,0.0,부산광역시,금정구,장전동,,158-2,수림로57,129.086184256386,35.2398193369524,N,0.0,0.0,0.0,1.0,1.0,1.0,4,8,8,4,3,38
5리3계촌,한식,0.0,부산광역시,금정구,부곡동,,325-30,서부곡로5번길51,129.090420727381,35.2235933974625,N,0.0,0.0,0.0,1.0,1.0,1.0,6,0,6,4,4,6
가야축산숯불생고기,한식,0.0,부산광역시,북구,화명동,,1388-8,금곡대로306번길14,129.014528847954,35.2351948989835,N,0.0,0.0,0.0,1.0,1.0,1.0,8,8,3,5,3,9
가촌유황오리,한식,0.0,부산광역시,수영구,망미동,,963-68,연수로241번길20,129.097400681456,35.1740438850311,N,0.0,0.0,0.0,1.0,1.0,1.0,37,7,24,31,8,6
냉정종가김치찜,한식,0.0,부산광역시,사상구,주례동,,166-191,가야대로344번길74,129.010335976047,35.1475611730696,N,0.0,0.0,0.0,1.0,1.0,1.0,6,2,6,4,8,8
102족발보쌈,한식,0.0,부산광역시,사상구,학장동,,571-4,학감대로109-39,128.987813720321,35.1393984570046,N,0.0,0.0,0.0,1.0,1.0,1.0,26,33,2,6,3,0
2900대패짱,한식,0.0,부산광역시,사하구,당리동,,331-48,괴정로114,128.976165737926,35.1016965215275,N,0.0,0.0,0.0,1.0,1.0,1.0,3,9,4,2,2,8
13호가마솥통닭,한식,0.0,부산광역시,북구,덕천동,,322-7,만덕대로39번길52,129.008695883709,35.2133879649224,N,0.0,0.0,0.0,1.0,1.0,1.0,6,9,39,27,5,2
가마꽃돼지국밥,한식,0.0,부산광역시,동래구,명장동,,300-55,명서로160,129.101497313672,35.209166913081,Y,0.0,0.0,1.0,1.0,1.0,0.0,4,7,0,0,0,2
부산명가국밥,한식,0.0,부산광역시,연제구,연산동,,581-1,거제천로266,129.085933691413,35.1916951018786,N,0.0,0.0,1.0,1.0,1.0,0.0,6,3,4,8,7,8
가얏골감자탕 부산지사점,한식,0.0,부산광역시,강서구,지사동,,1193-7,과학산단로334번나길28,128.834241420557,35.1502764834585,Y,0.0,0.0,1.0,1.0,1.0,1.0,8,35,8,9,8,5
가미가식당,한식,0.0,부산광역시,중구,광복동2가,,2-41,광복로67번길11,129.032441932141,35.099151694456,N,0.0,0.0,1.0,1.0,0.0,0.0,3,3,9,1,0,31
가미국수,한식,0.0,부산광역시,금정구,두구동,,601-15,체육공원로521,129.108803154411,35.2877643747328,N,0.0,0.0,1.0,1.0,1.0,0.0,5,4,0,4,9,1
흥남밀면냉면,한식,0.0,부산광역시,강서구,명지동,,3264-9,명지오션시티8로42번길16-12,128.910321794135,35.0851686082713,Y,0.0,0.0,1.0,1.0,1.0,0.0,7,8,6,7,5,3
1237분식,한식,0.0,부산광역시,연제구,연산동,,2133-41,배산로14-1,129.09378184825,35.1742311330351,N,0.0,0.0,1.0,1.0,1.0,0.0,22,7,4,5,2,5
가야밀면칼국수,한식,0.0,부산광역시,사상구,덕포동,,426-9,사상로288-1,128.982927969702,35.1704367030136,N,0.0,0.0,1.0,1.0,1.0,0.0,29,0,20,8,8,2
노홍만두,한식,0.0,부산광역시,해운대구,중동,,1394-106,구남로41번길26-4,129.162459926217,35.1614021894196,N,0.0,0.0,1.0,1.0,1.0,0.0,0,8,2,5,3,3
다와푸드 센텀,한식,0.0,부산광역시,해운대구,우동,,1470,센텀중앙로48,129.1298516354,35.1730246419521,Y,0.0,0.0,0.0,1.0,0.0,0.0,3,7,0,8,1,6
가락한식뷔페,한식,0.0,부산광역시,강서구,죽림동,,715-2,식만로4,128.901558834279,35.1964180211591,Y,0.0,0.0,0.0,1.0,1.0,0.0,2,7,34,6,8,2
가야할매밀면전문점,한식,0.0,부산광역시,금정구,남산동,,103-10,범어천로21번길25,129.090963967692,35.2670313801875,N,0.0,0.0,0.0,1.0,1.0,0.0,7,1,8,34,3,8
